Program "PAW_protein_grouper.py" run on Fri Feb  8 15:55:01 2019


	=SUBTOTAL(109,B6:B5432)													Total	Unique	Corrected
122	1	sp|B1ARD6|SLFN9_MOUSE	 	 	 	 	15.5	910	103991	Schlafen family member 9 OS=Mus musculus OX=10090 GN=Slfn9 PE=2 SV=1	17	17	1.000	17	17	17.000
123	1	sp|B1AVH7|TBD2A_MOUSE	 	 	 	 	15.1	922	104258	TBC1 domain family member 2A OS=Mus musculus OX=10090 GN=Tbc1d2 PE=2 SV=1	16	16	1.000	16	16	16.000
124	1	sp|B1AVY7|KI16B_MOUSE	 	 	sp|B1AVY7|KI16B_MOUSE, sp|P28741|KIF3A_MOUSE, sp|P33174|KIF4_MOUSE	 	1.5	1312	150056	Kinesin-like protein KIF16B OS=Mus musculus OX=10090 GN=Kif16b PE=1 SV=1	2	1	0.500	2	1	1.043
125	1	sp|B1AXH1|NHSL2_MOUSE	 	 	 	 	3.7	854	91872	NHS-like protein 2 OS=Mus musculus OX=10090 GN=Nhsl2 PE=1 SV=1	3	3	1.000	3	3	3.000
126	1	sp|B1AY10|NFX1_MOUSE	 	 	 	 	5.1	1114	123810	Transcriptional repressor NF-X1 OS=Mus musculus OX=10090 GN=Nfx1 PE=1 SV=1	4	4	1.000	4	4	4.000
127	1	sp|B1AY13|UBP24_MOUSE	 	 	 	 	10.4	2617	293998	Ubiquitin carboxyl-terminal hydrolase 24 OS=Mus musculus OX=10090 GN=Usp24 PE=1 SV=1	24	24	1.000	24	24	24.000
128	1	sp|B1AZI6|THOC2_MOUSE	 	 	 	 	11.9	1594	182771	THO complex subunit 2 OS=Mus musculus OX=10090 GN=Thoc2 PE=1 SV=1	18	18	1.000	18	18	18.000
129	1	sp|B1AZP2|DLGP4_MOUSE	 	 	 	 	4.0	992	108036	Disks large-associated protein 4 OS=Mus musculus OX=10090 GN=Dlgap4 PE=1 SV=1	4	4	1.000	4	4	4.000
130	1	sp|B2RQC6|PYR1_MOUSE	 	 	 	 	28.0	2225	243236	CAD protein OS=Mus musculus OX=10090 GN=Cad PE=1 SV=1	83	83	1.000	83	83	83.000
131	1	sp|B2RR83|YTDC2_MOUSE	 	 	 	 	2.4	1445	161090	3'-5' RNA helicase YTHDC2 OS=Mus musculus OX=10090 GN=Ythdc2 PE=1 SV=1	3	3	1.000	3	3	3.000
132	1	sp|B2RRE7|OTUD4_MOUSE	 	 	 	 	7.0	1107	123054	OTU domain-containing protein 4 OS=Mus musculus OX=10090 GN=Otud4 PE=1 SV=1	9	9	1.000	9	9	9.000
133	1	sp|B2RUP2|UN13D_MOUSE	 	 	 	 	15.3	1085	123118	Protein unc-13 homolog D OS=Mus musculus OX=10090 GN=Unc13d PE=1 SV=2	15	15	1.000	15	15	15.000
134	1	sp|B2RWS6|EP300_MOUSE	 	 	sp|B2RWS6|EP300_MOUSE, sp|P45481|CBP_MOUSE	 	4.4	2412	263303	Histone acetyltransferase p300 OS=Mus musculus OX=10090 GN=Ep300 PE=1 SV=2	12	7	0.583	12	7	10.182
135	1	sp|B2RX12|MRP3_MOUSE	 	 	sp|B2RX12|MRP3_MOUSE, sp|O35379|MRP1_MOUSE, sp|Q921J2|RHEB_MOUSE	 	1.4	1523	169122	Canalicular multispecific organic anion transporter 2 OS=Mus musculus OX=10090 GN=Abcc3 PE=1 SV=1	2	0	0.000	2	0	0.000
136	1	sp|B2RX14|TUT4_MOUSE	 	 	sp|B2RX14|TUT4_MOUSE, sp|Q5BLK4|TUT7_MOUSE	 	1.4	1644	184648	Terminal uridylyltransferase 4 OS=Mus musculus OX=10090 GN=Tut4 PE=1 SV=2	2	1	0.500	2	1	1.067
137	1	sp|B2RXC1|TPC11_MOUSE	 	 	 	 	6.4	1133	128395	Trafficking protein particle complex subunit 11 OS=Mus musculus OX=10090 GN=Trappc11 PE=1 SV=1	7	7	1.000	7	7	7.000
138	1	sp|B2RXR6|ANR44_MOUSE	 	 	 	 	23.5	993	107384	Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B OS=Mus musculus OX=10090 GN=Ankrd44 PE=1 SV=1	23	23	1.000	23	23	23.000
139	1	sp|B2RXS4|PLXB2_MOUSE	 	 	sp|B2RXS4|PLXB2_MOUSE, sp|Q3UH93|PLXD1_MOUSE, sp|Q9QZC2|PLXC1_MOUSE	 	5.7	1842	206228	Plexin-B2 OS=Mus musculus OX=10090 GN=Plxnb2 PE=1 SV=1	10	8	0.800	10	8	8.941
140	1	sp|B2RY04|DOCK5_MOUSE	 	 	sp|B2RY04|DOCK5_MOUSE, sp|Q8BUR4|DOCK1_MOUSE	 	5.2	1868	214427	Dedicator of cytokinesis protein 5 OS=Mus musculus OX=10090 GN=Dock5 PE=1 SV=2	10	9	0.900	10	9	9.750
141	1	sp|B2RY56|RBM25_MOUSE	 	 	 	 	25.8	838	99551	RNA-binding protein 25 OS=Mus musculus OX=10090 GN=Rbm25 PE=1 SV=2	21	21	1.000	21	21	21.000
142	1	sp|B7ZMP1|XPP3_MOUSE	 	 	 	 	5.7	506	56677	Xaa-Pro aminopeptidase 3 OS=Mus musculus OX=10090 GN=Xpnpep3 PE=1 SV=1	3	3	1.000	3	3	3.000
143	1	sp|B8ZXI1|QTRT2_MOUSE	 	 	 	 	17.8	415	46288	Queuine tRNA-ribosyltransferase accessory subunit 2 OS=Mus musculus OX=10090 GN=Qtrt2 PE=1 SV=2	5	5	1.000	5	5	5.000
144	1	sp|B9EJ80|PDZD8_MOUSE	 	 	 	 	10.9	1147	127738	PDZ domain-containing protein 8 OS=Mus musculus OX=10090 GN=Pdzd8 PE=1 SV=1	10	10	1.000	10	10	10.000
145	1	sp|B9EJ86|OSBL8_MOUSE	 	 	 	 	27.7	889	101267	Oxysterol-binding protein-related protein 8 OS=Mus musculus OX=10090 GN=Osbpl8 PE=1 SV=1	31	31	1.000	31	31	31.000
146	1	sp|B9EJR8|DAAF5_MOUSE	 	 	 	 	7.0	853	93850	Dynein assembly factor 5, axonemal OS=Mus musculus OX=10090 GN=Dnaaf5 PE=1 SV=1	5	5	1.000	5	5	5.000
147	1	sp|B9EKI3|TMF1_MOUSE	 	 	 	 	2.1	1091	121801	TATA element modulatory factor OS=Mus musculus OX=10090 GN=Tmf1 PE=1 SV=2	2	2	1.000	2	2	2.000
148	1	sp|C0HKD8|MFA1A_MOUSE (+1)	sp|C0HKD8|MFA1A_MOUSE&sp|C0HKD9|MFA1B_MOUSE	 	sp|C0HKD8|MFA1A_MOUSE, sp|Q9WTK5|NFKB2_MOUSE	 	16.2	439	51954	Microfibrillar-associated protein 1A OS=Mus musculus OX=10090 GN=Mfap1a PE=1 SV=1	8	6	0.750	8	6	6.400
149	1	sp|C0HKE1|H2A1B_MOUSE (+14)	sp|C0HKE1|H2A1B_MOUSE&sp|C0HKE2|H2A1C_MOUSE&sp|C0HKE3|H2A1D_MOUSE&sp|C0HKE4|H2A1E_MOUSE&sp|C0HKE5|H2A1G_MOUSE&sp|C0HKE6|H2A1I_MOUSE&sp|C0HKE7|H2A1N_MOUSE&sp|C0HKE8|H2A1O_MOUSE&sp|C0HKE9|H2A1P_MOUSE&sp|Q8BFU2|H2A3_MOUSE&sp|Q8CGP5|H2A1F_MOUSE&sp|Q8CGP6|H2A1H_MOUSE&sp|Q8CGP7|H2A1K_MOUSE&sp|Q8R1M2|H2AJ_MOUSE&tr|Q8CGP4|Q8CGP4_MOUSE	 	sp|C0HKE1|H2A1B_MOUSE, sp|P0C0S6|H2AZ_MOUSE, sp|P27661|H2AX_MOUSE, sp|Q64523|H2A2C_MOUSE	 	35.4	130	14135	Histone H2A type 1-B OS=Mus musculus OX=10090 GN=Hist1h2ab PE=1 SV=1	51	11	0.216	51	11	27.988
150	1	sp|C0HKG5|RNT2A_MOUSE (+1)	sp|C0HKG5|RNT2A_MOUSE&sp|C0HKG6|RNT2B_MOUSE	 	 	 	35.5	259	29608	Ribonuclease T2-A OS=Mus musculus OX=10090 GN=Rnaset2a PE=1 SV=1	10	10	1.000	10	10	10.000
151	1	sp|D0QMC3|MNDAL_MOUSE	 	 	sp|D0QMC3|MNDAL_MOUSE, sp|O35368|IFI3_MOUSE, sp|P0DOV1|IFI5B_MOUSE, sp|P0DOV2|IFI4_MOUSE, sp|Q8CGE8|IFI5A_MOUSE	 	19.7	538	60526	Myeloid cell nuclear differentiation antigen-like protein OS=Mus musculus OX=10090 GN=Mndal PE=1 SV=1	20	7	0.350	20	7	11.735
152	1	sp|D3YXK1|SAMD1_MOUSE	 	 	 	 	5.4	519	54532	Atherin OS=Mus musculus OX=10090 GN=Samd1 PE=1 SV=1	2	2	1.000	2	2	2.000
153	1	sp|D3YXK2|SAFB1_MOUSE	 	 	sp|D3YXK2|SAFB1_MOUSE, sp|Q80YR5|SAFB2_MOUSE	 	12.5	937	105102	Scaffold attachment factor B1 OS=Mus musculus OX=10090 GN=Safb PE=1 SV=2	17	12	0.706	17	12	15.000
154	1	sp|D3YZP9|CCDC6_MOUSE	 	 	 	 	15.4	469	52938	Coiled-coil domain-containing protein 6 OS=Mus musculus OX=10090 GN=Ccdc6 PE=1 SV=1	9	9	1.000	9	9	9.000
155	1	sp|D3Z2R5|SELN_MOUSE	 	 	 	 	4.8	557	62491	Selenoprotein N OS=Mus musculus OX=10090 GN=Selenon PE=3 SV=2	2	2	1.000	2	2	2.000
156	1	sp|D3Z6Q9|BIN2_MOUSE	 	 	sp|D3Z6Q9|BIN2_MOUSE, sp|O08539|BIN1_MOUSE	 	29.9	489	52553	Bridging integrator 2 OS=Mus musculus OX=10090 GN=Bin2 PE=1 SV=1	30	27	0.900	30	27	29.382
157	1	sp|D3Z7P3|GLSK_MOUSE	 	 	 	 	16.5	674	73963	Glutaminase kidney isoform, mitochondrial OS=Mus musculus OX=10090 GN=Gls PE=1 SV=1	20	20	1.000	20	20	20.000
158	1	sp|E9PV24|FIBA_MOUSE	 	 	 	 	9.6	789	87428	Fibrinogen alpha chain OS=Mus musculus OX=10090 GN=Fga PE=1 SV=1	7	7	1.000	7	7	7.000
159	1	sp|E9PVA8|GCN1_MOUSE	 	 	 	 	24.3	2671	293017	eIF-2-alpha kinase activator GCN1 OS=Mus musculus OX=10090 GN=Gcn1 PE=1 SV=1	73	73	1.000	73	73	73.000
160	1	sp|E9PVX6|KI67_MOUSE	 	 	 	 	21.5	3177	350860	Proliferation marker protein Ki-67 OS=Mus musculus OX=10090 GN=Mki67 PE=1 SV=1	71	71	1.000	71	71	71.000
161	1	sp|E9PY46|IF140_MOUSE	 	 	 	 	2.1	1464	165873	Intraflagellar transport protein 140 homolog OS=Mus musculus OX=10090 GN=Ift140 PE=1 SV=1	3	3	1.000	3	3	3.000
162	1	sp|E9PYH6|SET1A_MOUSE	 	 	 	 	6.7	1716	186057	Histone-lysine N-methyltransferase SETD1A OS=Mus musculus OX=10090 GN=Setd1a PE=1 SV=1	9	9	1.000	9	9	9.000
163	1	sp|E9PYK3|PARP4_MOUSE	 	 	 	 	7.8	1969	216131	Protein mono-ADP-ribosyltransferase PARP4 OS=Mus musculus OX=10090 GN=Parp4 PE=1 SV=1	12	12	1.000	12	12	12.000
164	1	sp|E9PZJ8|ASCC3_MOUSE	 	 	 	 	6.4	2198	250554	Activating signal cointegrator 1 complex subunit 3 OS=Mus musculus OX=10090 GN=Ascc3 PE=1 SV=1	13	13	1.000	13	13	13.000
165	1	sp|E9PZM4|CHD2_MOUSE	 	 	sp|A2AJK6|CHD7_MOUSE, sp|E9PZM4|CHD2_MOUSE, sp|P40201|CHD1_MOUSE, sp|Q09XV5|CHD8_MOUSE, sp|Q8BYH8|CHD9_MOUSE	 	7.9	1827	210801	Chromodomain-helicase-DNA-binding protein 2 OS=Mus musculus OX=10090 GN=Chd2 PE=1 SV=1	13	9	0.692	13	9	10.445
166	1	sp|E9Q1P8|I2BP2_MOUSE	 	 	sp|E9Q1P8|I2BP2_MOUSE, sp|Q8K3X4|I2BPL_MOUSE	 	22.3	570	59291	Interferon regulatory factor 2-binding protein 2 OS=Mus musculus OX=10090 GN=Irf2bp2 PE=1 SV=1	12	9	0.750	12	9	11.077
167	1	sp|E9Q394|AKP13_MOUSE	 	 	 	 	6.0	2776	303972	A-kinase anchor protein 13 OS=Mus musculus OX=10090 GN=Akap13 PE=1 SV=1	16	16	1.000	16	16	16.000
168	1	sp|E9Q3L2|PI4KA_MOUSE	 	 	 	 	11.3	2105	237039	Phosphatidylinositol 4-kinase alpha OS=Mus musculus OX=10090 GN=Pi4ka PE=1 SV=2	25	25	1.000	25	25	25.000
169	1	sp|E9Q414|APOB_MOUSE	 	 	 	 	0.7	4505	509426	Apolipoprotein B-100 OS=Mus musculus OX=10090 GN=Apob PE=1 SV=1	4	4	1.000	4	4	4.000
170	1	sp|E9Q4N7|ARI1B_MOUSE	 	 	sp|A2BH40|ARI1A_MOUSE, sp|E9Q4N7|ARI1B_MOUSE	 	3.4	2244	237793	AT-rich interactive domain-containing protein 1B OS=Mus musculus OX=10090 GN=Arid1b PE=1 SV=1	6	5	0.833	6	5	5.200
171	1	sp|E9Q4P1|WDFY1_MOUSE	 	 	 	 	17.3	410	46217	WD repeat and FYVE domain-containing protein 1 OS=Mus musculus OX=10090 GN=Wdfy1 PE=1 SV=1	6	6	1.000	6	6	6.000
172	1	sp|E9Q4Z2|ACACB_MOUSE	 	 	sp|E9Q4Z2|ACACB_MOUSE, sp|Q5SWU9|ACACA_MOUSE	 	4.1	2448	275747	Acetyl-CoA carboxylase 2 OS=Mus musculus OX=10090 GN=Acacb PE=1 SV=1	9	1	0.111	9	1	1.200
173	1	sp|E9Q555|RN213_MOUSE	 	 	 	 	27.9	5152	584777	E3 ubiquitin-protein ligase RNF213 OS=Mus musculus OX=10090 GN=Rnf213 PE=1 SV=2	183	183	1.000	183	183	183.000
174	1	sp|E9Q5C9|NOLC1_MOUSE	 	 	 	 	14.5	702	73697	Nucleolar and coiled-body phosphoprotein 1 OS=Mus musculus OX=10090 GN=Nolc1 PE=1 SV=1	18	18	1.000	18	18	18.000
175	1	sp|E9Q5F9|SETD2_MOUSE	 	 	 	 	2.1	2537	285660	Histone-lysine N-methyltransferase SETD2 OS=Mus musculus OX=10090 GN=Setd2 PE=1 SV=1	4	4	1.000	4	4	4.000
176	1	sp|E9Q5G3|KIF23_MOUSE	 	 	 	 	21.0	953	108774	Kinesin-like protein KIF23 OS=Mus musculus OX=10090 GN=Kif23 PE=1 SV=1	26	26	1.000	26	26	26.000
177	1	sp|E9Q5K9|YTDC1_MOUSE	 	 	 	 	3.7	736	85648	YTH domain-containing protein 1 OS=Mus musculus OX=10090 GN=Ythdc1 PE=1 SV=2	2	2	1.000	2	2	2.000
178	1	sp|E9Q634|MYO1E_MOUSE	 	 	sp|E9Q634|MYO1E_MOUSE, sp|P70248|MYO1F_MOUSE	 	20.2	1107	126816	Unconventional myosin-Ie OS=Mus musculus OX=10090 GN=Myo1e PE=1 SV=1	26	15	0.577	26	15	18.113
179	1	sp|E9Q6J5|BD1L1_MOUSE	 	 	 	 	3.9	3032	327449	Biorientation of chromosomes in cell division protein 1-like 1 OS=Mus musculus OX=10090 GN=Bod1l PE=1 SV=1	9	9	1.000	9	9	9.000
180	1	sp|E9Q735|UBE4A_MOUSE	 	 	 	 	4.0	1028	118197	Ubiquitin conjugation factor E4 A OS=Mus musculus OX=10090 GN=Ube4a PE=1 SV=1	4	4	1.000	4	4	4.000
181	1	sp|E9Q784|ZC3HD_MOUSE	 	 	 	 	2.7	1729	203753	Zinc finger CCCH domain-containing protein 13 OS=Mus musculus OX=10090 GN=Zc3h13 PE=1 SV=1	4	4	1.000	4	4	4.000
182	1	sp|E9Q7E2|ARID2_MOUSE	 	 	 	 	4.0	1828	195986	AT-rich interactive domain-containing protein 2 OS=Mus musculus OX=10090 GN=Arid2 PE=1 SV=1	7	7	1.000	7	7	7.000
183	1	sp|E9Q7G0|NUMA1_MOUSE	 	 	 	 	31.2	2094	235628	Nuclear mitotic apparatus protein 1 OS=Mus musculus OX=10090 GN=Numa1 PE=1 SV=1	75	75	1.000	75	75	75.000
184	1	sp|E9Q8D0|DJC21_MOUSE	 	 	 	 	8.9	531	61734	DnaJ homolog subfamily C member 21 OS=Mus musculus OX=10090 GN=Dnajc21 PE=1 SV=1	3	3	1.000	3	3	3.000
185	1	sp|E9QAM5|HELZ2_MOUSE	 	 	 	 	16.1	2947	331559	Helicase with zinc finger domain 2 OS=Mus musculus OX=10090 GN=Helz2 PE=1 SV=1	43	43	1.000	43	43	43.000
186	1	sp|E9QAT4|SC16A_MOUSE	 	 	 	 	12.0	2357	254199	Protein transport protein Sec16A OS=Mus musculus OX=10090 GN=Sec16a PE=1 SV=1	22	22	1.000	22	22	22.000
187	1	sp|F6ZDS4|TPR_MOUSE	 	 	 	 	28.4	2431	273987	Nucleoprotein TPR OS=Mus musculus OX=10090 GN=Tpr PE=1 SV=1	72	72	1.000	72	72	72.000
188	1	sp|F7BJB9|MORC3_MOUSE	 	 	 	 	23.9	942	106521	MORC family CW-type zinc finger protein 3 OS=Mus musculus OX=10090 GN=Morc3 PE=1 SV=1	27	27	1.000	27	27	27.000
189	1	sp|F8VPQ2|ARI4A_MOUSE	 	 	 	 	3.8	1261	142054	AT-rich interactive domain-containing protein 4A OS=Mus musculus OX=10090 GN=Arid4a PE=1 SV=1	4	4	1.000	4	4	4.000
190	1	sp|G3X9K3|BIG1_MOUSE	 	 	sp|A2A5R2|BIG2_MOUSE, sp|G3X9K3|BIG1_MOUSE	 	14.7	1846	208497	Brefeldin A-inhibited guanine nucleotide-exchange protein 1 OS=Mus musculus OX=10090 GN=Arfgef1 PE=1 SV=1	26	16	0.615	26	16	21.000
191	1	sp|G5E829|AT2B1_MOUSE	 	 	sp|G5E829|AT2B1_MOUSE, sp|Q6Q477|AT2B4_MOUSE	 	23.4	1220	134745	Plasma membrane calcium-transporting ATPase 1 OS=Mus musculus OX=10090 GN=Atp2b1 PE=1 SV=1	28	21	0.750	28	21	26.444
192	1	sp|G5E870|TRIPC_MOUSE	 	 	 	 	17.0	2025	224125	E3 ubiquitin-protein ligase TRIP12 OS=Mus musculus OX=10090 GN=Trip12 PE=1 SV=1	30	30	1.000	30	30	30.000
193	1	sp|G5E8P0|GCP6_MOUSE	 	 	 	 	3.2	1769	197189	Gamma-tubulin complex component 6 OS=Mus musculus OX=10090 GN=Tubgcp6 PE=1 SV=1	4	4	1.000	4	4	4.000
194	1	sp|L0N7N1|KIF14_MOUSE	 	 	 	 	2.3	1674	186443	Kinesin-like protein KIF14 OS=Mus musculus OX=10090 GN=Kif14 PE=1 SV=1	4	4	1.000	4	4	4.000
195	1	sp|O08528|HXK2_MOUSE	 	 	sp|O08528|HXK2_MOUSE, sp|P17710|HXK1_MOUSE, sp|Q3TRM8|HXK3_MOUSE, sp|Q8BJ34|MARF1_MOUSE, sp|Q91W97|HKDC1_MOUSE	 	44.6	917	102534	Hexokinase-2 OS=Mus musculus OX=10090 GN=Hk2 PE=1 SV=1	83	70	0.843	83	70	77.566
196	1	sp|O08529|CAN2_MOUSE	 	 	 	 	26.1	700	79871	Calpain-2 catalytic subunit OS=Mus musculus OX=10090 GN=Capn2 PE=1 SV=4	19	19	1.000	19	19	19.000
197	1	sp|O08539|BIN1_MOUSE	 	 	sp|D3Z6Q9|BIN2_MOUSE, sp|O08539|BIN1_MOUSE	 	14.6	588	64469	Myc box-dependent-interacting protein 1 OS=Mus musculus OX=10090 GN=Bin1 PE=1 SV=1	10	7	0.700	10	7	7.618
198	1	sp|O08547|SC22B_MOUSE	 	 	 	 	52.6	215	24740	Vesicle-trafficking protein SEC22b OS=Mus musculus OX=10090 GN=Sec22b PE=1 SV=3	22	22	1.000	22	22	22.000
199	1	sp|O08550|KMT2B_MOUSE	 	 	 	 	1.5	2713	294817	Histone-lysine N-methyltransferase 2B OS=Mus musculus OX=10090 GN=Kmt2b PE=1 SV=3	3	3	1.000	3	3	3.000
200	1	sp|O08553|DPYL2_MOUSE	 	 	sp|O08553|DPYL2_MOUSE, sp|Q62188|DPYL3_MOUSE	 	52.8	572	62277	Dihydropyrimidinase-related protein 2 OS=Mus musculus OX=10090 GN=Dpysl2 PE=1 SV=2	42	37	0.881	42	37	41.868
201	1	sp|O08573|LEG9_MOUSE	 	 	 	 	48.4	353	40035	Galectin-9 OS=Mus musculus OX=10090 GN=Lgals9 PE=1 SV=1	31	31	1.000	31	31	31.000
202	1	sp|O08579|EMD_MOUSE	 	 	 	 	36.3	259	29435	Emerin OS=Mus musculus OX=10090 GN=Emd PE=1 SV=1	11	11	1.000	11	11	11.000
203	1	sp|O08582|GTPB1_MOUSE	 	 	 	 	24.1	668	72300	GTP-binding protein 1 OS=Mus musculus OX=10090 GN=Gtpbp1 PE=1 SV=2	16	16	1.000	16	16	16.000
204	1	sp|O08583|THOC4_MOUSE	 	 	 	 	35.3	255	26940	THO complex subunit 4 OS=Mus musculus OX=10090 GN=Alyref PE=1 SV=3	21	21	1.000	21	21	21.000
205	1	sp|O08585|CLCA_MOUSE	 	 	sp|A3KGB4|TBC8B_MOUSE, sp|O08585|CLCA_MOUSE	 	24.7	235	25604	Clathrin light chain A OS=Mus musculus OX=10090 GN=Clta PE=1 SV=2	15	14	0.933	15	14	14.824
206	1	sp|O08586|PTEN_MOUSE	 	 	 	 	15.4	403	47152	Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN OS=Mus musculus OX=10090 GN=Pten PE=1 SV=1	4	4	1.000	4	4	4.000
207	1	sp|O08599|STXB1_MOUSE	 	 	sp|O08599|STXB1_MOUSE, sp|Q64324|STXB2_MOUSE	 	3.4	594	67568	Syntaxin-binding protein 1 OS=Mus musculus OX=10090 GN=Stxbp1 PE=1 SV=2	2	1	0.500	2	1	1.031
208	1	sp|O08600|NUCG_MOUSE	 	 	 	 	14.6	294	32190	Endonuclease G, mitochondrial OS=Mus musculus OX=10090 GN=Endog PE=1 SV=1	4	4	1.000	4	4	4.000
209	1	sp|O08605|MKNK1_MOUSE	 	 	 	 	5.2	427	47914	MAP kinase-interacting serine/threonine-protein kinase 1 OS=Mus musculus OX=10090 GN=Mknk1 PE=1 SV=2	2	2	1.000	2	2	2.000
211	1	sp|O08648|M3K4_MOUSE	 	 	 	 	1.8	1597	179832	Mitogen-activated protein kinase kinase kinase 4 OS=Mus musculus OX=10090 GN=Map3k4 PE=1 SV=2	2	2	1.000	2	2	2.000
212	1	sp|O08663|MAP2_MOUSE	 	 	 	 	35.6	478	52921	Methionine aminopeptidase 2 OS=Mus musculus OX=10090 GN=Metap2 PE=1 SV=1	21	21	1.000	21	21	21.000
213	1	sp|O08691|ARGI2_MOUSE	 	 	 	 	17.8	354	38878	Arginase-2, mitochondrial OS=Mus musculus OX=10090 GN=Arg2 PE=1 SV=1	8	8	1.000	8	8	8.000
214	1	sp|O08692|NGP_MOUSE	 	 	 	 	71.3	167	19331	Neutrophilic granule protein OS=Mus musculus OX=10090 GN=Ngp PE=1 SV=1	46	46	1.000	46	46	46.000
215	1	sp|O08709|PRDX6_MOUSE	 	 	 	 	70.5	224	24870	Peroxiredoxin-6 OS=Mus musculus OX=10090 GN=Prdx6 PE=1 SV=3	58	58	1.000	58	58	58.000
216	1	sp|O08734|BAK_MOUSE	 	 	 	 	19.1	209	23294	Bcl-2 homologous antagonist/killer OS=Mus musculus OX=10090 GN=Bak1 PE=1 SV=3	2	2	1.000	2	2	2.000
217	1	sp|O08738|CASP6_MOUSE	 	 	sp|O08738|CASP6_MOUSE, sp|P70677|CASP3_MOUSE	 	22.1	276	31595	Caspase-6 OS=Mus musculus OX=10090 GN=Casp6 PE=1 SV=1	9	5	0.556	9	5	5.800
218	1	sp|O08739|AMPD3_MOUSE	 	 	 	 	18.9	766	88651	AMP deaminase 3 OS=Mus musculus OX=10090 GN=Ampd3 PE=1 SV=2	13	13	1.000	13	13	13.000
219	1	sp|O08740|RPB11_MOUSE	 	 	 	 	30.8	117	13251	DNA-directed RNA polymerase II subunit RPB11 OS=Mus musculus OX=10090 GN=Polr2j PE=1 SV=1	2	2	1.000	2	2	2.000
220	1	sp|O08749|DLDH_MOUSE	 	 	 	 	40.7	509	54272	Dihydrolipoyl dehydrogenase, mitochondrial OS=Mus musculus OX=10090 GN=Dld PE=1 SV=2	28	28	1.000	28	28	28.000
221	1	sp|O08756|HCD2_MOUSE	 	 	 	 	37.5	261	27418	3-hydroxyacyl-CoA dehydrogenase type-2 OS=Mus musculus OX=10090 GN=Hsd17b10 PE=1 SV=4	19	19	1.000	19	19	19.000
222	1	sp|O08759|UBE3A_MOUSE	 	 	 	 	24.9	870	99818	Ubiquitin-protein ligase E3A OS=Mus musculus OX=10090 GN=Ube3a PE=1 SV=2	24	24	1.000	24	24	24.000
223	1	sp|O08784|TCOF_MOUSE	 	 	 	 	15.5	1320	135000	Treacle protein OS=Mus musculus OX=10090 GN=Tcof1 PE=1 SV=1	27	27	1.000	27	27	27.000
224	1	sp|O08788|DCTN1_MOUSE	 	 	 	 	35.8	1281	141674	Dynactin subunit 1 OS=Mus musculus OX=10090 GN=Dctn1 PE=1 SV=3	51	51	1.000	51	51	51.000
225	1	sp|O08795|GLU2B_MOUSE	 	 	 	 	26.5	521	58792	Glucosidase 2 subunit beta OS=Mus musculus OX=10090 GN=Prkcsh PE=1 SV=1	27	27	1.000	27	27	27.000
226	1	sp|O08796|EF2K_MOUSE	 	 	 	 	8.1	724	81738	Eukaryotic elongation factor 2 kinase OS=Mus musculus OX=10090 GN=Eef2k PE=1 SV=1	7	7	1.000	7	7	7.000
227	1	sp|O08800|SPB8_MOUSE	 	 	 	 	11.2	374	42150	Serpin B8 OS=Mus musculus OX=10090 GN=Serpinb8 PE=1 SV=2	6	6	1.000	6	6	6.000
228	1	sp|O08807|PRDX4_MOUSE	 	 	sp|O08807|PRDX4_MOUSE, sp|P35700|PRDX1_MOUSE	 	41.2	274	31052	Peroxiredoxin-4 OS=Mus musculus OX=10090 GN=Prdx4 PE=1 SV=1	20	10	0.500	20	10	11.235
229	1	sp|O08808|DIAP1_MOUSE	 	 	 	 	33.2	1255	139342	Protein diaphanous homolog 1 OS=Mus musculus OX=10090 GN=Diaph1 PE=1 SV=1	53	53	1.000	53	53	53.000
230	1	sp|O08810|U5S1_MOUSE	 	 	sp|O08810|U5S1_MOUSE, sp|P58252|EF2_MOUSE	 	38.0	971	109359	116 kDa U5 small nuclear ribonucleoprotein component OS=Mus musculus OX=10090 GN=Eftud2 PE=1 SV=1	50	46	0.920	50	46	46.906
231	1	sp|O08811|ERCC2_MOUSE	 	 	 	 	2.4	760	86841	General transcription and DNA repair factor IIH helicase subunit XPD OS=Mus musculus OX=10090 GN=Ercc2 PE=1 SV=2	2	2	1.000	2	2	2.000
232	1	sp|O08832|GALT4_MOUSE	 	 	 	 	7.3	578	66554	Polypeptide N-acetylgalactosaminyltransferase 4 OS=Mus musculus OX=10090 GN=Galnt4 PE=1 SV=1	4	4	1.000	4	4	4.000
233	1	sp|O08856|ELL_MOUSE	 	 	 	 	16.8	602	67146	RNA polymerase II elongation factor ELL OS=Mus musculus OX=10090 GN=Ell PE=2 SV=2	8	8	1.000	8	8	8.000
234	1	sp|O08908|P85B_MOUSE	 	 	sp|O08908|P85B_MOUSE, sp|P26450|P85A_MOUSE	 	7.8	722	81265	Phosphatidylinositol 3-kinase regulatory subunit beta OS=Mus musculus OX=10090 GN=Pik3r2 PE=1 SV=2	5	3	0.600	5	3	3.429
235	1	sp|O08912|GALT1_MOUSE	 	 	 	 	24.5	559	64254	Polypeptide N-acetylgalactosaminyltransferase 1 OS=Mus musculus OX=10090 GN=Galnt1 PE=1 SV=1	17	17	1.000	17	17	17.000
